Game Title,Year,Publisher,North America,Europe,Japan,Rest of World,Global,Number of Reviews,Summary,Wishlist,Platform,Genre,Rating
Bloodstained: Curse of the Moon,2007.0,,0.08,0.02,0.0,0.01,0.17,341.0,"“Bloodstained: Curse of the Moon” is packed with the retro charm that made the legendary 2D action games of the 80s so enjoyable.
             

              Take control of one of four characters that can be interchanged at any time during gameplay: The sword-swinging exorcist Zangetsu, the whip-wielding heroine Miriam, the magic using alchemist Alfred, and Gebel, who can turn into a bat and take to the skies.
              
              Finally, you can experience multiple endings depending on how you interact with the characters you meet.
             

              This project is the 8-bit style game promised as a stretch goal of the 2015 Kickstarter campaign for ""Bloodstained: Ritual of the Night."" Backers of the Kickstarter campaign are encouraged to check the Kickstarter page for updates.",397.0,2600,Platform,7.345609084672563
Plants vs. Zombies,2007.0,,0.08,0.02,0.0,0.01,0.17,719.0,"Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.",82.0,2600,Puzzle,6.511195153451245
Zero Escape: Zero Time Dilemma,2007.0,,0.08,0.02,0.0,0.01,0.17,350.0,Zero Time Dilemma is the third and final entry in the Zero Escape series. It is a story focused mystery/thriller visual novel with multiple endings that involves player choices and puzzle rooms.,402.0,2600,Puzzle,6.651093043215171
Zelda II: The Adventure of Link,1987.0,Nintendo,2.19,0.5,1.61,0.08,4.38,756.0,"Zelda II: The Adventure of Link is the second major installment in The Legend of Zelda series and the direct sequel to the first game. Like its predecessor, it features dungeons that must be located in the overworld and searched for an item that will prove useful. However, the game presents many very important gameplay changes compared to the previous one, affecting especially the movements and the combat. Moving around the world map involves encounters with enemies that take place on a side-scrolling playfield rather than the top-down perspective for which the series became known.",290.0,NES,Adventure,7.9
Yume Nikki,2007.0,,0.08,0.02,0.0,0.01,0.17,770.0,"Yume Nikki is a 32-Bit freeware game created by Kikiyama, a Japanese solo game designer. The game was made using RPGMaker 2003. The game is regarded as one of the most original applications of RPGMaker 2003, and the start of a possible new genre of games.
             

              ""Yume Nikki"" means ""Dream Diary"" in Japanese, and the game follows a young girl named Madotsuki as she dreams. The goal is to seek out and acquire all 24 'Effects'.
             

              The game otherwise has no plot, and nearly the entire game is left up to speculation.",771.0,2600,Adventure,7.152073567495705
Yu-Gi-Oh! Master Duel,2007.0,,0.08,0.02,0.0,0.01,0.17,170.0,"Yu-Gi-Oh! Master Duel lets players old and new enjoy the hugely popular Yu-Gi-Oh! TCG in digital form. Players across the globe can compete in intense collectible card Duels, both thrilling to play and watch. Alongside those iconic cards will be a huge range of other monsters, spells, traps, and more, drawn from Yu-Gi-Oh's two-decade-long legacy.",33.0,2600,Strategy,7.378710075268303
Ys VIII: Lacrimosa of Dana,2007.0,,0.08,0.02,0.0,0.01,0.17,620.0,"Ys returns with a brand new adventure for the first time in 8 years! Adol awakens shipwrecked and stranded on a cursed island. There, he and the other shipwrecked passengers he rescues form a village to challenge fearsome beasts and mysterious ruins on the isolated island.",575.0,2600,Adventure,7.217030356481986
Bayonetta 3,2007.0,,0.08,0.02,0.0,0.01,0.17,690.0,"You’ve waited long enough. The witch. Is. Back! A new-look Bayonetta returns to battle foes with her signature Witch Time! This time, she’ll wield her new Demon Masquerade ability to channel the power of demons and engage in larger-than-life action.",2.2K,2600,Brawler,7.312989806564654
NEET Girl Date Night,2007.0,,0.08,0.02,0.0,0.01,0.17,21.0,Your friend sets you up on a date with his NEET Cousin Kara.,42.0,2600,Visual Novel,7.15319884286056
Forza Horizon 5,2007.0,,0.08,0.02,0.0,0.01,0.17,589.0,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open-world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars.",594.0,2600,Racing,7.1954856259588285
Your Turn To Die: Death Game By Majority,2007.0,,0.08,0.02,0.0,0.01,0.17,221.0,Your Turn To Die: Death Game By Majority is a multi-ending horror adventure game. Your decision will directly affect the story and final outcome!,548.0,2600,Adventure,7.219195489732935
Pokémon Mystery Dungeon: Blue Rescue Team,2007.0,,0.08,0.02,0.0,0.01,0.17,273.0,"You, a regular human, find yourself trapped in the body of a Pokémon in a world inhabited by Pokémon. Without any other choice, you go on rescue missions through randomly generated dungeons with your newly-acquired partner and friend to save the world and get back to your human life.",154.0,2600,Adventure,7.245296061001933
Factorio,2007.0,,0.08,0.02,0.0,0.01,0.17,189.0,"You will be mining resources, researching technologies, building infrastructure, automating production and fighting enemies. Use your imagination to design your factory, combine simple elements into ingenious structures, apply management skills to keep it working and finally protect it from the creatures who don't really like you.",354.0,2600,Strategy,7.104799580545011
Axiom Verge 2,2007.0,,0.08,0.02,0.0,0.01,0.17,116.0,"You may have played Axiom Verge, or heard it referenced as a benchmark for indie “metroidvania” adventures. Axiom Verge 2 is part of the same story as Axiom Verge 1 but is a completely new game: new characters, new powers, new enemies, and a new world. You can play it before or after the original.",313.0,2600,Adventure,7.318238563714567
Path of Exile,2007.0,,0.08,0.02,0.0,0.01,0.17,130.0,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.",55.0,2600,Adventure,7.114480082095406
Earthblade,2007.0,,0.08,0.02,0.0,0.01,0.17,83.0,"You are Névoa, an enigmatic child of Fate returning at long last to Earth, in this explor-action platformer from the creators of Celeste. Earthblade's lush pixel art world offers seamless exploration, challenging combat, and countless mysteries to pick apart.",529.0,2600,Indie,7.145819301432472
Chulip,2007.0,,0.08,0.02,0.0,0.01,0.17,296.0,"You and your penniless father have just moved into a rural town famous for an ancient legend. It's been said that a couple who kisses underneath the old tree will be destined to live happily ever after. With your eyes set on a girl living in a nearby pipe...you set out on your quest. Filled with a new determination, you've sworn to yourself that you'll do whatever it takes to kiss this charming little girl underneath the ancient tree and spend the rest of your life with her.",420.0,2600,Puzzle,6.546490281190887
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007.0,THQ,0.01,0.04,0.0,0.01,0.06,426.0,"Year 2012. Six years passed since the time of the Second catastrophe to have made the April events of 1986 fade.
             

              The game is set in the Chernobyl exclusion zone which turned from a destiny-breaker place into a threat to all mankind. The Zone is reluctant to open up its mysteries and needs to be forced to do it. It is a rare hero who can reach the very heart of the Zone onto find out what danger awaits him there.
             

              A danger which, compared to marauders and enemy groupings, all monsters and anomalies, will seem a mere preparation to the meeting with something more fatal and threatening.
             

              But for now… get ready, hero. Collect artefacts and trade, grope your path and keep an eye on the rear, catch roentgens and fight – only make sure you survive! And then, perhaps, if you are persistent and truly lucky, you will find out why all this had fallen on you.",583.0,PC,Shooter,7.110695689183347
Yakuza Kiwami,2007.0,,0.08,0.02,0.0,0.01,0.17,1.2K,Yakuza Kiwami is a remake of the 2005 open world action-adventure game Yakuza.,1.0K,2600,RPG,7.216060207860531
Yakuza 4,2007.0,,0.08,0.02,0.0,0.01,0.17,295.0,"Yakuza 4 is the fourth game in Sega's crime drama series, known as 'Ryu ga Gotoku' in Japan. As a first for the series, the story is split between the viewpoints of four different protagonists.",255.0,2600,Adventure,7.152907903139126
Yakuza 2,2007.0,,0.08,0.02,0.0,0.01,0.17,331.0,"Yakuza 2 plunges you once more into the violent Japanese underworld. In intense brutal clashes with rival gangs, the police, and the Korean mafia, you will have opportunities to dole out more brutal punishment. As the heroic Kazuma Kiryu from the original Yakuza, explore Tokyo and now Osaka. Wander through the back alleys of Japan's underworld while trying to prevent an all-out gang war in over 16 complex, cinematic chapters written by Hase Seishu, the famous Japanese author who also wrote the first Yakuza. Endless conflicts and surprise plot twists will immerse you in a dark shadowy world where only the strongest will survive.",255.0,2600,Simulator,7.168749180946305
Xenosaga Episode I: Der Wille zur Macht,2007.0,,0.08,0.02,0.0,0.01,0.17,412.0,"Xenosaga: Episode I - Der Wille zur Macht, the first chapter of a trilogy, is a Japanese-style sci-fi role-playing game, sharing many common themes and gameplay elements with Xenogears. The battle system is not unlike the one used in Xenogears (combo attacks, AP and EP gauges, etc.), but random encounters are eliminated. Instead, the enemies are now visible and battles can be avoided. During combat the few upcoming ally and enemy turns are shown onscreen, allowing the player to make strategic decisions based on who will act next. A rolling slot moves with each turn as well, conferring a bonus such as added damage or bonus XP for any action on that turn. If the enemy would be in position to take an advantage then the player can expend a character's ""boost"" gauge to cut in and act next, although enemies can boost as well, and enemy boosts always over-ride player boosts.
             

              Each character has a unique tree of Ether spells they can learn by spending Ether points earned in battle, with lower spells requiring spells above them to be purchased first. After a spell is purchased, so long is it does not require a unique talent of that character, the spell can also be purchased and learned by any other character that can afford double its normal cost. The Anti-Gnosis Weapon Systems can be equipped with different weapons and accessories and can be used in combat provided that a character has enough AP on that turn to board their AGWS.",575.0,2600,Adventure,7.228969274157402
Xenoblade Chronicles: Future Connected,2007.0,,0.08,0.02,0.0,0.01,0.17,232.0,Xenoblade Chronicles: Future Connected takes place one year after the main story and delves deeper into the relationship between Shulk and Melia in the face of a mysterious new threat.,97.0,2600,RPG,7.303584087387986
Xenoblade Chronicles,2007.0,,0.08,0.02,0.0,0.01,0.17,828.0,"Xenoblade Chronicles follows Shulk and his band of friends as they search for answers about the mysterious ""Monado"" sword and defend their homeland from violent robotic creatures known as the Mechon. The game contains an open world design and strongly emphasizes exploration due to the world's large size. The game was very well received by critics, with many citing it as a great example of innovation and improvement in Japanese role-playing video games. The game has spawned a sub-series of the larger ""Xeno"" series, including Xenoblade Chronicles X (Wii U) and Xenoblade Chronicles 2 (Switch).",732.0,2600,Adventure,7.2359052191354705
